lambda	T(lambda)	1/T	baseline					Derivative Y1		T(lambda)	Derivative Y 2
503.8	60.294	0.0165853982154112	0.0166243934387572	-3.899522334605E-5	39	561.8	2.20541117835529	1.39999999999998	2.45930924970226	60.294	-5.12196666667178
503.9	60.298	0.0165842979866662	0.0166245027373722	-4.02047507059751E-5	40	562.8	2.20149253731343	1.45000000000005	2.45882119468148	60.298	-9.22230540758982
504	60.303	0.0165829229059914	0.0166246120359872	-4.16891299957825E-5	41	564.7	2.19408535505578	1.40000000000003	2.45833333333333	60.303	3.07789830508384
504.1	60.295	0.0165851231445393	0.0166247213346022	-3.95981900628388E-5	42	565.6	2.19059405940594	1.89999999999998	2.45784566554255	60.295	19.4849500403493
504.2	60.284	0.01658814942605	0.0166248306332172	-3.66812071671552E-5	43	568.5	2.17941952506596	3	2.45735819119397	60.284	25.6480720742511
504.3	60.27	0.0165920026547204	0.0166249399318322	-3.29372771117539E-5	44	571.6	2.16759972008397	3.10000000000002	2.45687091017252	60.27	9.23288232445545
504.4	60.275	0.0165906262961427	0.0166250492304472	-3.44229343044941E-5	45	574.7	2.15590742996346	3.19999999999999	2.4563838223632	60.275	-19.5093696529353
504.5	60.289	0.0165867737066463	0.0166251585290622	-3.83848224158496E-5	46	578	2.14359861591696	3.5	2.45589692765114	60.289	-18.4861178369574
504.6	60.293	0.0165856732954074	0.0166251734789765	-3.95001835690606E-5	47	581.7	2.12996389891697	3.5	2.45541022592152	60.293	12.3343951573907
504.7	60.277	0.0165900758166465	0.0166251098049736	-3.5033988327101E-5	48	585	2.11794871794872	3.39999999999998	2.45492371705964	60.277	37.0064451977369
504.8	60.257	0.0165955822560035	0.0166250461309707	-2.94638749672241E-5	49	588.5	2.1053525913339	3.55000000000001	2.45443740095087	60.257	26.7340287328448
504.9	60.251	0.0165972349006656	0.0166249824569678	-2.77475563022177E-5	50	592.1	2.09255193379497	3.64999999999998	2.45395127748069	60.251	-5.14720895882872
505	60.262	0.016594205303508	0.0166249187829649	-3.07134794568474E-5	51	595.8	2.07955689828802	3.69999999999999	2.45346534653465	60.262	-28.8176069410786
505.1	60.279	0.0165895253736791	0.016624855108962	-3.53297352828977E-5	52	599.5	2.06672226855713	3.75	2.45297960799842	60.279	-23.6777345439808
505.2	60.285	0.0165878742639131	0.016624791434959	-3.69171710459665E-5	53	603.3	2.05370462456489	3.89999999999998	2.45249406175772	60.285	4.12314963681264
505.3	60.275	0.0165906262961427	0.0166247277609561	-3.41014648134637E-5	54	607.3	2.04017783632472	4.05000000000001	2.4520087076984	60.275	36.0663482647255
505.4	60.25	0.016597510373444	0.0166246640869532	-2.71537135092537E-5	55	611.4	2.02649656526006	4	2.45152354570637	60.25	56.6943361581964
505.5	60.22	0.0166057788110262	0.0166246004129503	-1.88216019240926E-5	56	615.3	2.01365187713311	4	2.45103857566766	60.22	37.118142857149
505.6	60.214	0.0166074334872289	0.0166245367389474	-1.71032517185393E-5	57	619.4	2.00032289312238	4.15000000000003	2.45055379746835	60.214	-10.3205242937948
505.7	60.23	0.0166030217499585	0.0166244730649445	-2.14513149860221E-5	58	623.6	1.9868505452213	4.25	2.45006921099466	60.23	-41.2820991121926
505.8	60.254	0.0165964085371926	0.0166244093909416	-2.80008537490578E-5	59	627.9	1.97324414715719	4.39999999999998	2.44958481613286	60.254	-30.9689215496358
505.9	60.26	0.016594756057086	0.0166243457169387	-2.95896598527454E-5	60	632.4	1.95920303605313	4.25	2.44910061276932	60.26	22.7291601291256
506	60.232	0.0166024704476026	0.0166242820429358	-2.1811595333196E-5	61	636.4	1.94688874921433	4.35000000000002	2.44861660079051	60.232	64.06188700563
506.1	60.198	0.0166118475696867	0.0166241503034331	-1.23027337463541E-5	62	641.1	1.93261581656528	4.30000000000001	2.44813278008299	60.198	52.7124186440685
506.2	60.181	0.0166165401040195	0.0166239138477767	-7.37374375717886E-6	63	645	1.92093023255814	2.30000000000001	2.44764915053339	60.181	3.09582768362245
506.3	60.195	0.0166126754713847	0.0166236773921204	-1.10019207357204E-5	64	645.7	1.91884776211863	0.700000000000045	2.44716571202844	60.195	-48.6235972558587
506.4	60.228	0.0166035730889287	0.0166234409364641	-1.9867847535323E-5	65				2.44668246445498	60.228	-63.1260910411736
506.5	60.256	0.0165958576739246	0.0166232044808077	-2.73468068831377E-5	66				2.4461994076999	60.256	-35.195004842621
506.6	60.262	0.016594205303508	0.0166229680251514	-2.87627216433786E-5	67				2.44571654165022	60.262	26.9356644067946
506.7	60.23	0.0166030217499585	0.0166227315694951	-1.97098195365703E-5	68				2.44523386619301	60.23	73.5643336561641
506.8	60.191	0.0166137794686913	0.0166224951138387	-8.7156451474002E-6	69				2.44475138121547	60.191	75.6639310734557
506.9	60.157	0.0166231693734727	0.0166222586581824	9.10715290347586E-7	70				2.44426908660485	60.157	17.6171274415319
507	60.174	0.0166184730946921	0.0166220222025261	-3.54910783400414E-6	71				2.44378698224852	60.174	-47.719380145264
507.1	60.203	0.0166104679168812	0.0166217857468697	-1.13178299885192E-5	72				2.44330506803392	60.203	-74.7196911218958
507.2	60.246	0.016598612356007	0.0166215492912134	-2.29369352063649E-5	73				2.44282334384858	60.246	-63.3216071025188
507.3	60.264	0.0165936545864861	0.0166213128355571	-2.76582490709443E-5	74				2.44234180958013	60.264	-4.14765859562905
507.4	60.25	0.016597510373444	0.0166210763799007	-2.35660064567544E-5	75				2.44186046511628	60.25	49.8742666666781
507.5	60.216	0.016606881891856	0.0166208399242444	-1.39580323884232E-5	76				2.44137931034483	60.216	85.231327683604
507.6	60.168	0.0166201303018216	0.0166205617539431	-4.31452121554127E-7	77				2.44089834515366	60.168	71.7393661016847
